PRODUCT_NAME,DESCRIPTION,DESCRIPTION - Detail 1,DESCRIPTION - Detail 2,DESCRIPTION - Detail 3,STANDARD_COST,LIST_PRICE,QUANTITY,WAREHOUSE_NAME,,ADDRESS,,CITY,STATE,COUNTRY_NAME
Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,535.47,601.99,,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,535.47,601.99,36,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,535.47,601.99,97,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,,TDP:140W,535.47,601.99,67,"Seattle, Washington",,2004 Charade Rd,,Seattle,Washington,United States of America
Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,535.47,601.99,30,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,453.14,594.99,26,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,453.14,594.99,11,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,453.14,594.99,184,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,453.14,594.99,103,"Seattle, Washington",,2004 Charade Rd,,Seattle,Washington,United States of America
Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",Speed:3.6GHz,Cores:6,TDP:140W,453.14,594.99,59,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",Speed:2.4GHz,Cores:8,TDP:85W,421.9,589.99,,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",Speed:2.4GHz,Cores:8,TDP:85W,421.9,589.99,35,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",Speed:2.4GHz,Cores:8,TDP:85W,421.9,589.99,155,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",Speed:2.4GHz,Cores:8,TDP:85W,421.9,589.99,77,"Seattle, Washington",,2004 Charade Rd,,Seattle,Washington,United States of America
Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",Speed:2.4GHz,Cores:8,TDP:85W,421.9,,35,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,41,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,29,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,125,"Southlake, Texas",,2014 Jabberwocky Rd,,Southlake,Texas,United States of America
